1.616451, 1.297559 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 
1.651583, 1.330285 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 
1.694764, 1.353977 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 
1.741422, 1.394937 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 1.651324 
1.779801, 1.317841 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 1.651324 1.624857 
1.878382, 1.200349 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 1.651324 1.624857 1.859432 
1.972819, 1.390062 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 1.651324 1.624857 1.859432 1.816769 
2.109956, 1.458717 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 1.651324 1.624857 1.859432 1.816769 1.754964 
2.273050, 1.511904 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 1.651324 1.624857 1.859432 1.816769 1.754964 1.692892 
2.412731, 1.690544 1.620025 1.661020 1.800915 1.788946 1.866468 1.803264 1.622341 1.521950 1.478391 1.372824 1.384388 1.320051 1.032236 0.977477 0.971559 1.070583 1.076629 1.077803 1.135050 1.113012 1.181586 1.129274 1.159959 1.294536 1.259486 1.286706 1.324965 1.479054 1.519035 1.509039 1.390621 1.463113 1.651324 1.624857 1.859432 1.816769 1.754964 1.692892 1.789717 
